nutrition_id,product_id,protein_pct,fat_pct,crude_fiber_pct,moisture_pct,me_kcal_per_kg,omega_3_pct,omega_6_pct,calcium_pct,phosphorus_pct,calcium_phosphorus_ratio
1,1,34.0,15.0,6.5,8.0,3800,0.8,3.2,1.2,1.0,1.2
2,2,36.0,18.0,4.5,8.0,4000,1.0,3.5,1.3,1.1,1.18
3,3,30.0,13.0,7.0,8.0,3700,0.9,3.0,1.0,0.8,1.25
4,4,25.0,14.0,4.0,9.5,3700,0.5,2.5,1.0,0.8,1.25
5,5,29.0,16.0,3.5,9.0,3900,0.7,2.8,1.3,1.0,1.3
6,6,32.0,14.0,7.0,8.0,3750,0.6,2.8,0.9,0.7,1.29
7,7,28.0,12.0,8.0,8.0,3600,0.7,2.5,0.8,0.6,1.33
8,8,22.0,12.0,5.0,10.0,3650,0.4,2.2,0.9,0.7,1.29
9,9,26.0,14.0,4.0,9.5,3800,0.5,2.5,1.2,0.9,1.33
10,10,32.0,15.0,5.0,8.0,3850,0.5,2.6,1.0,0.8,1.25
11,11,36.0,18.0,4.0,8.0,4100,0.8,3.0,1.3,1.1,1.18
12,12,24.0,13.0,4.5,9.0,3750,0.4,2.3,0.9,0.7,1.29
13,13,22.0,11.0,6.0,9.0,3550,0.6,2.0,0.8,0.6,1.33
14,14,34.0,16.0,5.0,8.0,3900,0.6,2.9,1.1,0.9,1.22
15,15,37.0,18.0,4.0,8.0,4100,0.9,3.2,1.3,1.1,1.18
16,16,25.0,14.0,4.5,9.0,3800,0.5,2.5,1.0,0.8,1.25
17,17,29.0,16.0,4.0,9.0,3950,0.7,2.8,1.3,1.0,1.3
18,18,10.0,6.0,1.0,78.0,1200,0.4,1.2,0.3,0.2,1.5
19,19,38.0,30.0,4.0,14.0,5000,0.5,2.0,1.5,1.2,1.25
20,20,35.0,28.0,5.0,14.0,4800,0.5,2.2,1.4,1.1,1.27
