price_id,product_id,price_aud,price_per_kg_aud,source,price_date
1,1,45.99,23.0,petbarn.com.au,2026-06-01
2,2,49.99,25.0,petbarn.com.au,2026-06-01
3,3,47.99,24.0,petbarn.com.au,2026-06-01
4,4,65.99,16.5,petbarn.com.au,2026-06-01
5,5,72.99,18.25,petbarn.com.au,2026-06-01
6,6,42.99,23.88,petbarn.com.au,2026-06-01
7,7,46.99,26.11,petcircle.com.au,2026-06-01
8,8,95.99,14.12,petcircle.com.au,2026-06-01
9,9,99.99,14.7,petcircle.com.au,2026-06-01
10,10,39.99,26.66,petbarn.com.au,2026-06-01
11,11,44.99,29.99,petbarn.com.au,2026-06-01
12,12,52.99,17.66,petcircle.com.au,2026-06-01
13,13,54.99,18.33,petcircle.com.au,2026-06-01
14,14,41.99,27.99,petbarn.com.au,2026-06-01
15,15,44.99,29.99,petbarn.com.au,2026-06-01
16,16,54.99,18.33,petbarn.com.au,2026-06-01
17,17,59.99,20.0,petbarn.com.au,2026-06-01
18,18,5.49,29.68,petcircle.com.au,2026-06-01
19,19,59.99,59.99,petcircle.com.au,2026-06-01
20,20,55.99,55.99,petcircle.com.au,2026-06-01
